Klasė,Preciziškumas,Atkūrimas,F1
Nekenkėjiška,0.422,0.260,0.322
Kenkėjiška,0.887,0.890,0.889
Obfuskuota,0.495,0.683,0.574
Svertinis vidurkis,0.601,0.611,0.595
