Klasė,Preciziškumas,Atkūrimas,F1
Nekenkėjiška,0.687,0.703,0.695
Kenkėjiška,0.887,0.890,0.889
Obfuskuota,0.760,0.740,0.750
Svertinis vidurkis,0.778,0.778,0.778
